"","logFC","logCPM","LR","PValue","FDR"
"AT1G26800.1",-1.20125257452098,4.09636684897826,26.9591520516062,2.07800867830531e-07,0.00360077343776744
"AT1G75750.1",1.62126782118836,3.41952779400142,24.71160178545,6.65821618395507e-07,0.00424161705606106
"ATCG00270.1",-0.860035468616994,7.9079432816741,24.5069234081491,7.40433002913941e-07,0.00424161705606106
"AT4G09250.1",-6.2034984419894,0.559278246584347,23.4187788730404,1.30300328117783e-06,0.00424161705606106
"AT2G25900.1",-0.68531252687824,6.58300141377965,23.2401946203611,1.42977558567538e-06,0.00424161705606106
"AT2G33830.2",-2.19789531173821,3.57661753104617,23.1885343476457,1.46870396678014e-06,0.00424161705606106
"AT5G54190.1",-1.312986792618,3.63993232318359,22.6274604300081,1.96653697322002e-06,0.00448980325336228
"AT5G13930.1",0.926612326119073,6.5898876591739,22.5263060250088,2.07285468760955e-06,0.00448980325336228
"AT3G15450.1",-0.961674961525941,5.31457045019445,22.2398744194505,2.40624360725373e-06,0.00463282102516586
"AT5G42800.1",1.7842824971988,3.6535403882199,21.4492036775973,3.63326879744495e-06,0.00629572817221261
"AT2G47800.1",0.991771924720661,3.37164964935219,20.529563031949,5.87173449027799e-06,0.00812461711370304
"AT1G20440.1",-0.618064271312738,7.16544035502675,20.4812185105759,6.02192619786387e-06,0.00812461711370304
"AT3G10020.1",-0.855310612746154,6.3917750359012,20.4580268389229,6.09533832399235e-06,0.00812461711370304
"AT2G44230.1",-0.587712858943962,6.50155083580283,19.893381808228,8.18832997856475e-06,0.0101348129906121
"AT3G21190.1",0.584912541496704,4.91124325297886,19.6472069587972,9.31393560598076e-06,0.010759458412029
"AT5G52310.1",-0.789729246077873,6.58884486727529,19.4589012140406,1.02787697261313e-05,0.0111319076134002
"AT2G10600.1",-4.63177146225944,2.29192550202679,18.9440488913444,1.34608501431537e-05,0.0137205653694452
"AT5G48490.1",-0.679257085781175,4.40745689425551,18.4953294395294,1.70321172570355e-05,0.016204341992752
"AT1G02930.1",1.61808085299719,2.9222829494381,18.4147296429375,1.77679188517018e-05,0.016204341992752
"AT4G10910.1",-1.21609522999614,2.30597886939784,18.2431424516892,1.94424657592847e-05,0.0168449523338442
"AT5G20830.1",0.828869960783088,4.15879068787776,17.6763053294583,2.61868421045109e-05,0.021607885713665
"AT2G05540.1",-1.57427893746661,2.62067068551443,17.4087815222905,3.01430135077775e-05,0.0237417335483077
"AT5G63135.1",-1.59501001623704,1.61113410959427,17.1827236300072,3.39509987647023e-05,0.025020787413191
"AT5G08640.1",0.842010363291292,4.31215829579202,17.1437474135316,3.46548302121759e-05,0.025020787413191
"AT2G15960.1",-0.799228579765042,6.31039186852767,17.0371838165483,3.66549335997996e-05,0.0254062675766931
"AT1G37130.1",0.631674197624749,7.50584961484411,16.601655760079,4.61107479683869e-05,0.0304421718937559
"AT5G26330.1",1.17433620688226,2.21257216491691,16.5264564214947,4.79759703234502e-05,0.0304421718937559
"AT1G23390.1",-0.686445752940586,7.23047833792875,16.4790374463393,4.91909518135483e-05,0.0304421718937559
"AT2G36885.1",0.781727513733711,4.58314786817621,16.3427202126952,5.28588147096595e-05,0.0315501117170821
"AT2G42530.1",-0.927653431486573,6.89664978148984,16.2805147106501,5.46227695932861e-05,0.0315501117170821
"ATCG00020.1",-3.22201336337226,7.63275497954469,16.0693338782476,6.10649405078249e-05,0.0341333319070836
"ATCG00540.1",-1.39137513890387,3.7111124346985,15.944300653784,6.52338952771008e-05,0.0353241542925501
"AT1G21460.1",0.673723397316325,3.83658604809608,15.655043401057,7.60096077345629e-05,0.0388527780436037
"ATMG00020.1",-2.18641803591526,7.95774849266217,15.6494518356019,7.62346752933128e-05,0.0388527780436037
"AT3G44310.1",0.621593088138829,8.19728199676105,15.3054617688796,9.14517141443921e-05,0.0445595869183981
"AT1G24625.1",-0.678547259242741,4.55680333065526,15.2480425330623,9.42744122829044e-05,0.0445595869183981
"AT1G73600.2",0.495491173507659,7.30889426803461,15.2026167863556,9.65695097954853e-05,0.0445595869183981
"AT3G01770.1",-0.53873484816662,4.93256097826889,15.1561988510898,9.89728380991561e-05,0.0445595869183981
"AT4G22880.1",1.33572072778568,5.02193176527197,15.1312393699083,0.00010028992900609,0.0445595869183981
"AT1G27300.1",-0.642598928968668,4.10396452701362,15.0651958334245,0.000103860715276918,0.044992461857961
"AT3G28300.1",-1.08999840105347,3.3452518083074,14.8679228743289,0.000115307183055261,0.0476583484431012
"AT3G28290.1",-1.09000420795296,3.3452518083074,14.8645200530088,0.000115515387500592,0.0476583484431012
